id,templateId,skillId,"domain",stem,choiceA,choiceB,choiceC,choiceD,correctLetter,correctText,"choiceLengths","correctLength","lengthRatios",flags,source
SP5403_Q145,,"NEW-10-EthicalProblemSolving",School-Wide,"A school psychologist is asked to conduct a neuropsychological evaluation, which requires specialized training the psychologist does not have. The most ethical response is to:","Attempt the evaluation using general assessment knowledge","Decline and refer to a qualified neuropsychologist","Conduct a basic evaluation and note limitations in the report","Accept but request additional time to learn the procedures",B,"Decline and refer to a qualified neuropsychologist",A=57|B=50|C=61|D=58,50.00,A=1.14|B=1.00|C=1.22|D=1.16,"none",ETS
SP5403_Q146,,"NEW-10-EducationLaw",Academic,"A student has a medical condition that substantially limits a major life activity but does not require specialized instruction. Under which law would this student most likely be eligible for services?","IDEA, because it covers all disabilities","Section 504, because it covers students who need accommodations but not specialized instruction","Both IDEA and Section 504 equally","Neither, because specialized instruction is required",B,"Section 504, because it covers students who need accommodations but not specialized instruction",A=40|B=95|C=33|D=52,95.00,A=0.42|B=1.00|C=0.35|D=0.55,"length-mismatch",ETS
SP5403_Q147,,"NEW-10-EducationLaw",Academic,"What is the key difference in the services provided under IDEA versus Section 504?","IDEA provides accommodations; Section 504 provides specialized instruction","IDEA provides specialized instruction and related services; Section 504 provides accommodations and modifications for access","There is no difference in services provided","IDEA is for physical disabilities; Section 504 is for learning disabilities",B,"IDEA provides specialized instruction and related services; Section 504 provides accommodations and modifications for access",A=74|B=124|C=43|D=75,124.00,A=0.60|B=1.00|C=0.35|D=0.60,"length-mismatch",ETS
SP5403_Q148,,"NEW-10-EducationLaw",DBDM,"How do evaluation requirements differ between IDEA and Section 504?","IDEA requires comprehensive evaluation by a multidisciplinary team; Section 504 requires evaluation by a team of knowledgeable persons","Section 504 requires more comprehensive evaluation than IDEA","Both require identical evaluation procedures","Neither requires formal evaluation",A,"IDEA requires comprehensive evaluation by a multidisciplinary team; Section 504 requires evaluation by a team of knowledgeable persons",A=134|B=60|C=44|D=34,134.00,A=1.00|B=0.45|C=0.33|D=0.25,"length-mismatch",ETS
SP5403_Q149,,"NEW-10-RecordKeeping",School-Wide,"Under FERPA, which of the following parties can access a student's educational records without parental consent?","Any school employee who requests access","School officials with legitimate educational interests","Other parents in the school","Community members conducting research",B,"School officials with legitimate educational interests",A=39|B=54|C=27|D=37,54.00,A=0.72|B=1.00|C=0.50|D=0.69,"none",ETS
SP5403_Q150,,"NEW-10-RecordKeeping",Family,"A parent believes that information in their child's educational record is inaccurate. Under FERPA, what right does the parent have?","The parent has no right to challenge the information","The parent can request amendment, and if the school refuses, the parent can request a hearing","The parent can demand immediate removal of the information","The parent must file a lawsuit to correct the record",B,"The parent can request amendment, and if the school refuses, the parent can request a hearing",A=52|B=93|C=58|D=52,93.00,A=0.56|B=1.00|C=0.62|D=0.56,"none",ETS
SP5403_Q151,,LEG-S01,Legal/Ethics,"According to the Rowley case, what must an IEP provide to meet the FAPE standard under IDEA?","The maximum potential of the student","Some educational benefit, not necessarily the best possible education","Equal outcomes compared to non-disabled peers","Services that maximize the student's potential",B,"Some educational benefit, not necessarily the best possible education",A=36|B=69|C=45|D=46,69.00,A=0.52|B=1.00|C=0.65|D=0.67,"none",ETS
SP5403_Q152,,LEG-S01,DBDM,"How did the Endrew F. v. Douglas County School District case modify the Rowley standard for FAPE?","It lowered the standard to require only minimal benefit","It raised the standard to require meaningful educational benefit, not just 'some benefit'","It eliminated the FAPE requirement entirely","It applied only to students with severe disabilities",B,"It raised the standard to require meaningful educational benefit, not just 'some benefit'",A=55|B=89|C=43|D=52,89.00,A=0.62|B=1.00|C=0.48|D=0.58,"length-mismatch",ETS
SP5403_Q153,,LEG-S01,Diversity,"The Larry P. v. Riles case prohibited the use of IQ tests for what purpose in California?","Identifying gifted students","Placing African American students in special education programs for educable mentally retarded","Determining eligibility for all special education services","Assessing academic achievement",B,"Placing African American students in special education programs for educable mentally retarded",A=27|B=94|C=58|D=30,94.00,A=0.29|B=1.00|C=0.62|D=0.32,"irrelevant-domain, length-mismatch",ETS
SP5403_Q154,,LEG-S01,MBH,"According to the Tarasoff case, when does a school psychologist have a duty to warn or protect?","Whenever a student mentions any negative feelings","When a student makes a specific, credible threat of serious harm to an identifiable victim","Only after a student has already harmed someone","When parents request information about their child",B,"When a student makes a specific, credible threat of serious harm to an identifiable victim",A=49|B=90|C=47|D=50,90.00,A=0.54|B=1.00|C=0.52|D=0.56,"none",ETS
SP5403_Q155,,LEG-S01,"Prevention","A school psychologist learns that a student has made a specific threat to harm a classmate. Based on relevant case law, the psychologist should:","Maintain confidentiality and not disclose the threat","Warn the intended victim and/or take reasonable steps to protect them, even if it means breaching confidentiality","Wait to see if the student follows through with the threat","Only report if the student has a history of violence",B,"Warn the intended victim and/or take reasonable steps to protect them, even if it means breaching confidentiality",A=52|B=113|C=58|D=52,113.00,A=0.46|B=1.00|C=0.51|D=0.46,"length-mismatch",ETS
SP5403_Q156,,LEG-S05,MBH,"A student with a disability is being considered for a disciplinary removal that would result in more than 10 consecutive school days out of school. What must occur before this removal can be implemented?","Nothing - the removal can proceed immediately","A manifestation determination review must be conducted","The student's IEP must be revised","Parent consent must be obtained",B,"A manifestation determination review must be conducted",A=45|B=54|C=33|D=31,54.00,A=0.83|B=1.00|C=0.61|D=0.57,"none",ETS
SP5403_Q157,,LEG-S05,MBH,"During a manifestation determination review, the team must answer which of the following questions?","Was the behavior wrong and should the student be punished?","Was the conduct caused by or did it have a direct relationship to the student's disability, and was the conduct a direct result of the school's failure to implement the IEP?","Does the student have a disability?","Should the student be placed in a more restrictive setting?",B,"Was the conduct caused by or did it have a direct relationship to the student's disability, and was the conduct a direct result of the school's failure to implement the IEP?",A=58|B=173|C=35|D=59,173.00,A=0.34|B=1.00|C=0.20|D=0.34,"length-mismatch",ETS
SP5403_Q158,,LEG-S07,Family,"Before conducting an initial evaluation for special education, what must the school psychologist explain to parents to obtain informed consent?","Only that an evaluation will be conducted","The purpose of the evaluation, procedures to be used, and that consent can be revoked","The results of the evaluation before it is conducted","That consent is optional and not required",B,"The purpose of the evaluation, procedures to be used, and that consent can be revoked",A=41|B=85|C=52|D=41,85.00,A=0.48|B=1.00|C=0.61|D=0.48,"length-mismatch",ETS
